age,region,sexe,type,entendu
22,Nord,female,non_normee,1
22,Nord,female,normee,1
22,Nord,female,normee,1
22,Nord,female,normee,1
22,Nord,female,non_normee,1
22,Nord,female,normee,1
22,Nord,female,non_normee,1
22,Nord,female,normee,1
22,Nord,female,non_normee,1
22,Nord,female,normee,1
22,Nord,female,normee,1
22,Nord,female,normee,1
22,Nord,female,non_normee,1
22,Nord,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,sud_ouest,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,sud_ouest,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,normee,1
21,Sud,female,non_normee,1
21,Sud,female,sud_ouest,1
21,Sud,female,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,sud_ouest,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,sud_ouest,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,sud_ouest,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,non_normee,1
53,Paris et alentours,male,normee,1
53,Paris et alentours,male,sud_ouest,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
22,Sud_Ouest,male,normee,1
